	Brain_MD_7	Brain_MD_59	Brain_MD_20	Brain_MD_21	Brain_MD_50	Brain_MD_49	Brain_MD_45	Brain_MD_43	Brain_MD_8	Brain_MD_42	Brain_MD_1	Brain_MD_4	Brain_MD_55	Brain_MD_41	Brain_MD_37	Brain_MD_3	Brain_MD_34	Brain_MD_29	Brain_MD_13	Brain_MD_24	Brain_MD_65	Brain_MD_5	Brain_MD_66	Brain_MD_67	Brain_MD_58	Brain_MD_53	Brain_MD_56	Brain_MD_16	Brain_MD_40	Brain_MD_35	Brain_MD_30	Brain_MD_23	Brain_MD_28	Brain_MD_60
AFFX-HSAC07/X00351_5_st	10	146	277	10	199	44	10	272	328	10	10	178	10	10	54	40	10	10	177	92	10	105	449	237	10	10	58	10	142	10	148	104	10	88
AB000220_at	91	37	123	35	95	54	182	69	31	56	413	71	67	182	251	47	11	95	56	22	10	436	160	81	262	10	27	28	10	10	10	433	91	11
AB000584_at	10	558	196	98	10	187	23	28	89	40	1296	255	180	62	10	35	133	74	10	10	10	10	10	10	77	10	42	39	10	147	10	10	126	10
AB002365_at	10	221	99	673	53	24	30	10	16	29	122	10	10	10	10	10	49	55	28	11	140	96	20	159	97	50	10	19	71	17	44	69	128	112
AC002077_at	10	74	10	10	10	10	10	10	17	10	10	10	10	10	614	10	10	10	10	107	10	1584	10	895	10	10	26	10	10	363	10	10	10	79
AC002115_rna2_at	134	10	82	281	55	176	218	240	320	30	490	183	142	82	10	188	326	88	151	54	452	10	10	153	327	53	97	137	10	69	10	68	235	10
AF000560_at	83	352	123	95	10	212	173	30	10	173	143	10	228	164	196	122	19	10	10	10	10	10	183	166	199	103	81	10	86	10	10	10	115	60
AF000562_at	10	10	534	612	414	139	183	125	403	236	114	10	156	257	10	10	235	542	275	335	365	409	120	397	268	36	470	218	243	32	336	437	316	10
AF001294_at	94	946	105	61	21	125	10	140	184	97	145	309	155	10	10	56	97	10	10	10	283	636	105	156	20	10	10	90	206	89	10	153	231	109
AF009674_at	109	1475	10	202	373	10	273	236	166	10	177	10	248	36	10	10	10	10	46	61	424	188	15	10	120	80	517	161	206	10	196	125	10	238
AF014958_at	10	124	10	10	127	10	114	20	145	10	113	236	55	76	57	108	10	13	10	81	87	248	215	52	10	65	67	10	102	28	10	158	117	47
D00017_at	535	2245	114	102	10	127	12	92	199	654	3512	346	227	10	196	1276	547	10	58	413	567	4480	3512	1009	267	459	644	59	1488	609	459	585	1020	627
D00760_at	142	335	10	80	79	49	132	42	172	235	153	10	215	10	10	39	132	10	50	10	61	94	409	87	23	182	161	149	36	87	10	233	119	52
D10495_at	36	10	160	166	10	227	10	98	67	147	56	65	113	142	10	10	35	58	38	95	23	190	10	42	10	79	33	25	84	10	96	66	145	10
D10704_at	10	312	129	10	224	10	79	10	10	10	707	10	68	10	69	10	214	97	449	310	164	127	92	26	127	219	200	76	10	126	82	10	10	52
D11094_at	274	10	55	183	253	10	78	10	10	297	218	10	10	102	158	374	262	10	180	10	23	160	97	91	81	124	123	112	139	47	10	127	305	10
D11428_at	10	10	10	248	10	302	10	10	10	10	183	112	528	10	10	10	920	10	10	639	10	851	10	19	10	81	338	10	218	568	103	625	616	10
D13969_at	177	486	330	104	168	10	203	279	136	156	10	10	53	196	193	30	10	617	10	38	770	127	102	133	115	207	132	88	103	10	10	10	219	120
D14827_at	167	10	129	10	104	378	10	10	10	84	10	10	186	10	10	23	33	235	69	10	38	10	10	10	63	67	158	96	10	108	10	201	243	88
D14838_at	130	10	301	515	592	106	95	261	10	49	10	10	10	44	139	10	241	216	10	10	567	10	10	52	10	352	10	241	157	171	149	210	130	162
D14874_at	59	10	123	71	10	22	40	165	161	97	15	10	95	66	46	44	22	305	10	10	74	118	200	10	10	104	52	20	36	67	10	108	57	143
D16181_at	119	337	237	622	41	15	10	213	70	125	34	92	32	78	278	56	333	165	17	45	258	2442	544	97	76	176	10	10	30	10	136	10	215	10
D16227_at	34	10	154	356	223	10	200	111	62	10	10	10	353	357	10	10	185	270	10	10	46	22	10	10	157	238	10	10	82	10	10	10	177	10
D16294_at	52	10	85	13	41	182	21	10	10	251	269	10	221	10	34	101	319	20	10	400	10	10	70	91	10	293	324	171	99	10	10	145	135	42
D17525_at	141	10	465	126	278	132	157	42	744	18	161	143	210	160	10	395	10	598	234	122	10	10	10	10	201	285	317	10	42	67	10	279	251	10
D25215_at	85	191	138	447	23	26	88	10	127	56	18	50	10	182	189	48	10	10	30	10	93	10	276	16	64	16	10	75	10	10	224	10	24	10
D25216_at	235	10	484	10	153	173	568	105	782	595	354	486	467	1047	10	907	354	568	267	206	10	1872	10	10	639	659	687	224	10	502	10	807	510	10
D25217_at	132	382	265	725	129	10	55	184	203	16	114	10	15	10	390	20	278	508	377	74	456	290	97	10	10	241	30	88	87	54	99	203	103	80
D25303_at	32	24	103	10	10	40	92	10	254	32	101	10	138	311	81	90	33	254	13	93	164	10	10	35	97	18	96	29	21	10	10	66	10	14
D25547_at	50	10	117	29	148	67	137	10	179	10	184	89	22	190	10	214	46	277	77	13	200	132	35	10	92	106	162	79	127	60	67	203	155	12
D26443_at	10	37	174	1685	63	10	10	10	10	10	390	168	899	299	111	41	798	10	53	333	27	304	17	45	10	335	266	26	102	87	10	140	379	34
D28589_at	29	10	10	10	10	10	29	10	10	54	167	141	581	10	10	27	311	10	10	560	10	752	10	10	152	102	697	345	86	10	10	136	38	10
D29677_at	113	178	90	10	10	58	158	94	68	32	169	10	71	10	185	49	40	240	10	10	222	85	251	205	175	92	57	114	157	95	10	43	50	71
D30742_at	59	335	69	266	217	10	88	167	10	164	115	357	71	10	390	16	122	254	10	81	207	276	243	143	10	146	22	17	155	117	107	10	10	167
D31815_at	10	625	43	114	127	44	74	98	43	10	46	10	70	108	10	10	72	10	22	115	10	10	10	104	53	32	10	10	68	10	190	77	76	66
D38037_at	76	1058	10	32	249	31	10	233	352	179	83	88	11	184	274	10	10	51	10	171	46	804	401	231	10	226	91	10	216	10	157	82	10	329
D38305_at	10	213	261	87	10	10	90	10	35	214	260	99	51	68	10	36	110	139	10	38	10	10	10	10	223	10	10	10	10	10	10	10	88	265
D38524_at	21	178	133	116	37	10	32	58	10	36	297	156	21	12	10	10	83	10	105	65	166	105	110	71	102	37	122	26	62	10	10	67	93	49
D42039_at	10	265	19	160	78	10	22	10	121	121	110	10	107	120	19	101	59	153	56	229	10	10	253	35	29	55	81	10	10	50	26	79	78	112
D42054_at	119	10	43	31	113	74	140	53	11	34	150	122	26	12	10	36	18	10	173	54	102	107	10	244	92	163	167	116	10	80	57	113	188	123
D43947_at	10	72	139	152	25	44	147	172	233	120	166	10	56	142	69	126	182	144	10	10	266	33	97	10	201	85	87	132	43	10	10	160	114	88
D45370_at	10	593	408	10	195	10	82	351	10	110	10	308	10	10	10	149	77	391	10	10	452	196	10	10	10	134	128	10	160	63	15	318	81	10
D49817_at	132	10	57	347	99	10	89	214	82	10	96	10	95	10	177	114	10	118	74	276	454	10	10	10	10	10	104	52	50	10	10	199	190	218
D49818_at	10	10	225	499	78	33	10	10	158	10	100	10	93	10	10	186	165	198	28	85	271	10	268	10	10	10	571	104	274	10	10	290	10	310
D50370_at	47	101	73	388	77	10	71	74	50	10	13	70	10	373	200	16	30	202	108	85	298	80	934	218	64	50	92	61	108	10	10	79	158	63
D50495_at	152	385	267	394	621	151	541	10	518	230	216	10	392	377	610	10	295	10	287	422	369	768	464	719	460	404	633	10	704	10	263	10	188	969
D50683_at	34	116	55	125	17	143	45	10	172	83	56	10	77	62	10	73	92	389	10	10	14	165	10	10	60	85	232	41	10	154	42	338	220	80
D50913_at	10	10	198	10	31	10	179	19	10	47	128	10	115	10	347	10	192	46	32	43	395	475	185	758	50	320	212	165	566	73	67	10	78	10
D50914_at	90	10	76	171	74	15	96	10	10	149	173	255	364	84	10	591	120	10	56	68	81	27	10	65	439	183	142	271	86	156	10	153	129	14
D50922_at	26	198	57	80	10	10	23	10	10	189	116	35	10	10	166	36	177	10	24	78	149	69	90	188	14	170	151	145	69	10	15	59	10	117
D50928_at	29	429	268	113	262	111	206	332	110	250	256	10	200	265	254	227	85	473	125	10	102	10	10	237	182	42	23	98	10	54	10	346	295	10
D50931_at	105	1326	361	138	234	17	10	246	10	330	64	108	313	385	791	10	10	83	128	201	418	436	615	657	235	99	10	73	389	128	449	10	10	517
D63412_at	54	10	55	831	10	61	53	18	64	29	17	107	68	82	77	10	314	10	34	97	202	110	203	133	109	170	10	30	67	10	155	60	228	10
D63477_at	10	10	90	576	70	90	137	114	47	59	170	91	55	84	10	133	65	10	10	10	130	85	220	10	34	46	62	10	10	10	10	79	49	69
D78586_at	51	17	37	35	35	106	57	15	257	77	232	10	10	10	189	56	52	10	61	161	85	190	10	123	10	141	123	186	121	13	80	60	196	10
D82348_at	102	10	64	464	56	236	10	10	20	23	1049	194	629	10	81	408	338	10	10	633	136	495	306	55	183	486	745	645	314	341	817	628	129	234
D83407_at	56	340	76	377	216	10	59	64	40	10	75	134	30	10	10	47	103	135	58	38	158	110	138	113	10	42	52	41	73	10	10	77	158	91
D83777_at	22	337	457	1977	234	28	108	271	209	10	116	10	22	271	475	10	271	97	10	10	226	472	85	338	10	216	10	218	114	10	10	209	344	155
D83780_at	10	10	177	50	31	74	218	10	230	10	136	18	10	102	10	205	121	293	226	30	119	10	10	10	68	10	288	36	10	10	10	182	177	10
D83782_at	284	563	195	163	10	10	487	165	407	298	541	10	244	10	177	349	382	312	140	10	401	10	632	550	395	210	185	334	257	67	10	127	365	34
D83784_at	113	10	90	59	185	51	66	10	154	40	181	36	41	211	10	109	10	191	244	92	19	10	10	10	62	119	172	77	10	13	103	158	96	10
D84307_at	69	613	15	10	71	56	86	130	179	88	90	159	83	217	10	110	94	10	10	31	251	27	210	10	80	115	10	46	10	130	10	79	147	10
D85939_at	88	111	340	220	10	56	147	10	274	12	30	41	99	150	30	178	40	386	167	80	61	60	10	283	81	10	105	54	62	10	10	172	87	33
D86425_at	223	978	319	10	32	33	205	279	94	10	14	10	93	28	54	97	10	361	76	10	228	193	32	52	157	10	10	31	10	56	142	80	21	36
D86973_at	200	10	10	10	135	10	258	213	346	167	156	10	107	84	641	369	120	10	10	10	198	10	311	341	149	111	32	181	335	204	10	136	162	281
D87024_at	30	506	54	111	119	10	82	10	10	10	56	10	10	104	301	10	112	188	195	10	10	320	85	159	10	39	33	75	98	52	65	119	35	169
D87071_at	10	342	393	198	10	91	10	148	317	10	10	10	10	10	10	308	10	372	129	197	207	10	92	78	10	10	10	10	27	10	307	10	10	49
D87074_at	10	29	15	369	67	157	10	115	71	10	44	92	10	100	100	115	144	10	10	211	113	35	30	39	10	10	643	557	127	10	10	13	10	476
D87076_at	75	260	10	332	10	54	194	10	10	10	23	10	10	219	347	10	10	298	10	331	213	257	145	10	10	10	10	35	10	39	10	10	92	196
D87077_at	36	183	10	150	104	10	122	10	115	10	56	10	67	257	305	22	25	163	10	26	228	10	120	10	61	35	145	26	80	84	21	59	110	64
D87116_at	10	732	10	11	41	10	136	10	10	10	102	10	10	10	123	10	10	10	10	10	10	199	228	10	10	23	59	21	272	113	10	10	87	192
D87435_at	93	228	10	120	203	10	345	253	10	10	84	10	10	10	100	10	107	86	335	106	241	326	55	104	69	135	132	89	101	10	240	274	252	254
D87436_at	74	37	10	53	44	100	103	39	10	98	304	10	10	219	231	10	55	90	10	62	121	66	10	240	10	74	59	18	76	10	107	37	167	10
D87440_at	119	188	78	110	60	10	220	12	65	110	60	10	46	10	19	99	82	111	33	10	222	10	97	270	82	70	18	86	258	10	69	114	178	170
D87444_at	38	84	174	80	113	10	13	187	100	10	153	175	10	225	204	80	127	219	119	58	10	19	10	29	119	43	227	37	91	10	10	92	176	10
D87457_at	10	10	193	205	10	10	10	10	10	10	10	143	10	201	10	10	30	1050	10	10	226	22	52	10	10	42	10	71	56	10	10	65	105	60
D87458_at	79	250	16	214	78	10	538	10	25	58	10	10	39	436	475	10	280	53	10	35	10	627	57	52	167	42	10	72	46	10	21	10	103	145
D87461_at	31	10	10	131	26	60	41	10	31	45	130	49	84	205	119	113	90	65	10	43	10	10	173	10	31	47	67	59	90	10	76	73	287	105
D87463_at	22	10	312	2445	97	31	10	79	52	56	10	37	165	283	10	10	145	69	10	118	29	94	25	10	10	155	50	48	56	10	10	10	379	47
D87465_at	137	377	1588	2812	1942	68	624	879	121	151	26	10	137	4020	2151	22	690	2383	61	153	849	193	110	218	55	328	186	371	564	10	44	293	1270	672
D87468_at	129	10	10	49	40	174	13	10	155	30	10	158	52	10	204	22	113	10	10	51	10	948	10	10	10	37	10	10	10	139	10	10	124	10
D87845_at	64	176	198	107	81	83	134	23	10	99	92	10	10	56	11	42	107	55	111	35	140	10	80	10	159	42	92	17	71	10	10	69	70	126
D87937_at	10	839	10	10	176	401	10	10	10	14	10	10	315	10	10	10	11	10	239	250	10	10	10	48	109	10	10	10	10	404	130	10	10	268
D90276_at	42	106	201	105	53	21	149	10	85	133	54	10	59	10	10	135	81	188	113	51	160	10	301	52	159	92	137	10	198	10	311	177	10	10
HG1614-HT1614_at	95	3204	129	180	283	10	328	241	329	340	1015	10	230	10	366	384	448	10	159	72	10	799	10	338	289	376	54	140	791	474	65	175	10	654
HG174-HT174_at	10	10	117	134	22	10	214	60	10	83	55	99	253	176	84	28	104	25	10	294	491	49	85	293	76	40	44	10	16	28	10	10	112	90
HG2247-HT2332_at	97	993	151	135	150	183	71	271	293	15	85	184	162	267	10	206	103	202	135	86	198	10	10	10	172	113	157	45	10	34	10	216	153	10
HG2796-HT2904_at	108	568	210	229	37	44	87	10	422	15	46	10	10	150	131	42	103	179	90	92	151	27	165	10	98	84	48	10	57	65	10	73	158	218
HG3264-HT3441_at	108	10	10	10	10	201	10	228	10	10	24	194	10	201	92	58	10	114	10	10	362	116	22	10	64	10	20	10	75	10	240	10	107	10
HG3344-HT3521_at	61	226	39	52	31	15	215	103	10	10	66	10	36	58	382	45	42	298	81	10	219	129	45	71	205	10	69	41	221	10	10	73	143	112
HG3494-HT3688_at	79	10	10	226	10	10	60	10	127	20	66	239	10	66	10	79	196	95	61	144	74	127	130	10	86	62	255	25	49	167	73	180	484	10
HG3502-HT3696_at	10	382	24	65	113	459	17	10	10	60	40	131	18	52	10	23	251	123	30	382	10	63	243	52	14	42	10	29	94	10	48	17	73	230
HG3510-HT3704_at	144	10	237	913	174	402	56	376	242	37	287	55	1170	118	10	10	1798	540	33	700	87	273	349	286	406	452	905	1007	1031	739	332	394	425	1081
HG3548-HT3749_at	92	129	234	330	41	10	185	10	10	152	68	10	10	42	266	61	10	281	10	10	10	10	10	16	10	10	183	90	188	47	23	215	83	129
HG3570-HT3773_at	921	10	151	260	10	429	328	284	431	10	10	165	169	864	729	10	59	848	10	112	448	10	10	10	336	285	10	63	71	56	384	163	10	10
HG3934-HT4204_at	195	5191	169	99	206	10	12	10	10	158	120	239	149	62	1374	151	28	10	10	32	96	5332	4539	944	148	185	205	10	1709	269	344	10	10	3228
HG3945-HT4215_at	10	10	10	636	10	120	42	10	179	10	1306	10	345	10	10	188	464	421	10	1351	10	210	10	10	10	57	735	10	10	34	10	184	367	85
HG3987-HT4257_at	10	335	405	259	318	21	117	56	10	42	69	10	75	10	671	113	10	114	192	135	10	904	891	58	33	96	10	82	611	241	10	228	39	249
HG3995-HT4265_at	10	10	910	655	407	360	436	466	359	163	373	10	321	10	10	10	293	696	651	10	10	755	1014	10	335	187	472	127	94	132	10	784	386	37
HG4234-HT4504_at	34	10	157	53	110	120	10	179	70	10	15	255	13	10	428	107	34	265	188	77	151	49	50	172	61	34	81	10	168	10	28	115	45	14
HG4333-HT4603_at	52	10	237	37	202	114	103	144	125	38	21	73	57	54	84	87	54	212	76	146	228	10	10	10	89	50	230	20	21	10	149	140	10	10
HG4460-HT4729_at	10	1482	10	10	10	104	11	10	10	10	10	10	10	18	401	10	10	39	10	10	83	10	2262	10	10	10	10	10	830	32	10	323	84	128
HG4638-HT5050_at	86	10	10	10	10	236	209	694	10	1364	298	121	62	599	10	285	102	163	214	375	10	10	10	231	54	132	295	404	10	10	215	10	10	10
HG4749-HT5197_at	10	273	102	10	77	10	10	56	10	22	10	194	10	10	293	102	36	205	46	10	10	265	160	166	10	50	67	27	211	10	19	10	10	257
HG537-HT537_at	10	618	352	156	14	176	10	173	208	202	75	101	166	78	390	83	37	74	107	10	350	102	389	351	96	14	116	10	393	10	10	10	10	354
HG909-HT909_at	199	10	162	74	96	19	73	246	331	308	115	518	10	10	513	305	50	10	10	26	51	30	504	130	91	146	221	153	32	206	384	60	17	102
J00123_at	10	228	16	128	43	10	52	197	154	10	813	68	116	168	278	27	10	76	10	91	25	218	10	71	62	21	31	14	84	17	159	115	76	10
J00124_at	69	10	201	59	184	2258	32	28	131	69	83	129	123	26	200	19	106	144	210	141	435	10	155	10	200	99	171	104	99	41	211	180	86	10
J02854_at	137	10	10	122	55	10	24	38	283	94	323	243	10	219	10	285	118	46	322	220	117	10	10	10	270	18	10	34	10	198	178	24	109	10
J02876_at	78	10	10	10	10	203	10	10	122	10	75	10	48	10	10	101	10	172	10	10	10	2840	2973	315	10	115	10	10	1185	10	251	165	10	773
J03589_at	104	10	10	101	100	10	99	111	10	100	69	235	80	84	119	167	162	10	10	10	10	149	67	78	77	76	56	32	32	13	10	41	79	10
J03600_at	91	506	100	230	35	77	79	69	10	144	131	48	32	10	297	141	304	46	109	41	10	10	394	10	10	10	98	106	10	150	10	498	134	257
J03890_rna1_at	43	325	69	62	11	10	146	11	10	73	10	10	10	10	115	10	193	10	123	152	10	74	82	29	17	77	55	10	150	30	413	91	62	71
J03909_at	10	10	10	38	10	201	10	70	73	135	449	10	10	10	10	256	161	247	10	199	10	94	10	182	10	10	76	10	10	10	10	426	216	88
J04164_at	168	10	10	290	504	602	239	10	10	697	1019	92	10	10	10	101	10	587	10	166	10	10	10	10	10	35	2620	10	10	2502	10	1124	2242	208
J04948_at	10	298	304	400	542	49	239	170	10	10	16	10	10	237	10	62	10	205	319	320	431	10	10	126	10	152	331	92	10	10	10	318	10	10
J05037_at	10	1241	10	10	10	10	10	10	10	10	10	10	10	10	363	10	10	10	10	10	10	10	607	306	10	96	10	21	372	10	10	36	10	33
J05073_at	23	335	10	117	50	176	85	10	49	10	10	10	133	385	96	10	42	88	68	104	192	22	10	39	10	20	104	99	28	10	138	254	10	10
K02215_at	10	141	109	524	10	93	10	115	113	10	10	10	84	146	92	10	204	20	41	16	213	99	10	10	64	195	10	48	10	100	92	21	164	155
K02268_at	131	10	76	20	265	12	10	10	253	102	53	10	10	209	46	117	10	419	10	127	72	10	379	146	26	66	122	10	10	143	209	10	98	28
K02765_at	22	250	289	1017	112	10	67	126	642	133	99	10	10	540	189	151	427	10	129	10	578	146	344	309	127	182	253	13	10	276	10	411	573	10
L01087_at	69	385	10	10	10	318	10	10	247	103	10	235	10	158	69	10	10	249	10	10	113	10	228	10	10	10	10	10	19	47	10	10	10	188
L02321_at	29	1463	82	368	45	10	53	212	10	10	13	10	10	10	10	42	10	10	10	10	219	384	502	299	84	30	10	27	91	10	34	81	304	139
L02648_at	10	541	180	254	161	261	16	117	283	97	92	10	10	10	10	10	93	137	28	187	341	74	464	16	72	24	150	10	35	63	10	315	111	10
L04490_at	401	10	60	229	133	10	326	82	107	220	345	161	242	207	84	460	421	123	10	100	296	10	173	198	207	220	33	215	23	117	10	128	174	10
L05512_at	68	166	19	34	179	595	88	374	830	266	119	105	61	158	10	10	26	568	270	96	162	27	72	10	427	114	226	96	10	97	292	308	219	10
L06419_at	153	427	288	10	10	10	351	30	10	197	288	10	471	10	10	47	251	188	10	493	10	342	10	10	317	10	366	133	310	134	563	414	318	223
L07738_at	171	1713	286	217	10	222	111	275	10	204	10	10	10	10	652	10	10	361	133	94	266	1192	888	745	264	131	61	10	432	10	365	213	10	705
L10343_at	10	625	10	58	117	10	42	85	10	10	54	53	10	46	65	10	10	10	10	10	10	365	479	65	10	48	11	25	10	10	10	11	63	22
L10386_at	86	618	187	147	295	10	116	128	352	230	47	310	35	301	196	10	107	97	216	176	10	265	210	10	259	23	254	50	161	10	10	175	185	139
L11369_at	46	10	106	336	249	199	248	124	199	10	80	374	10	160	10	184	92	277	123	46	70	10	10	10	14	180	211	93	10	250	10	90	382	10
L12535_at	87	245	10	174	39	10	32	10	56	15	182	101	10	10	181	71	39	88	42	48	10	215	112	113	10	51	109	38	75	10	10	100	73	79
L13042_at	62	211	84	108	10	84	107	10	227	10	86	135	129	110	196	53	107	10	10	87	138	33	10	188	16	10	65	61	35	10	92	89	120	98
L13197_at	88	10	130	220	10	114	91	10	160	81	13	33	10	52	10	36	10	10	10	127	10	519	10	71	156	81	47	90	10	10	96	221	29	254
L13278_at	11	10	10	105	10	10	51	10	47	35	269	10	387	18	235	127	325	10	26	66	10	10	32	48	89	69	47	42	99	32	10	42	41	69
L13436_at	10	139	103	76	152	319	139	209	113	10	10	10	74	134	10	16	105	109	131	10	232	10	502	10	230	16	155	35	10	84	10	72	101	10
L13698_at	10	84	48	99	15	53	94	10	32	10	409	13	46	10	108	10	15	48	13	106	10	271	75	42	10	48	870	67	236	230	49	257	54	142
L13738_at	142	10	358	523	793	14	469	228	187	70	105	213	79	351	10	148	96	281	185	172	427	1009	32	10	197	181	246	47	140	10	10	129	569	134
L13977_at	41	166	123	381	28	88	10	248	157	10	558	10	142	16	10	81	496	10	10	28	10	370	67	100	41	97	148	104	68	215	117	161	57	10
L16991_at	13	735	333	171	342	10	261	94	202	20	142	10	150	40	200	128	10	10	149	10	61	522	336	325	69	73	335	35	10	54	10	26	50	287
L17327_at	39	444	10	10	10	84	10	163	10	29	79	10	195	353	77	181	271	10	10	10	158	143	225	58	52	109	10	16	158	65	211	10	256	191
L19058_at	176	278	246	16	519	17	367	10	406	86	10	10	216	188	158	10	825	16	34	408	10	94	346	410	110	48	17	10	83	78	40	53	103	126
L19314_at	27	158	42	354	159	10	106	50	10	10	88	10	41	174	169	18	56	153	10	95	151	1440	218	192	10	103	63	23	102	130	10	208	157	117
L19686_rna1_at	1922	417	678	10	934	10	670	10	10	1832	10	1531	3012	10	10	3100	2756	10	18	502	10	16	318	237	1220	2136	677	843	921	1397	10	296	412	420
L20971_at	10	44	748	219	211	42	122	384	158	45	10	31	10	333	142	61	185	582	10	44	599	550	123	104	48	65	10	10	10	10	10	26	145	20
L21954_at	39	10	10	59	10	10	171	10	71	10	283	163	339	10	10	111	402	10	10	21	303	10	32	10	139	192	406	145	209	424	10	245	10	53
L22548_at	10	10	10	10	10	196	148	10	269	10	139	110	36	10	10	106	10	74	40	10	10	10	10	10	70	10	69	13	146	295	21	325	1026	10
L24559_at	80	620	217	146	628	10	217	321	452	210	145	10	114	58	494	322	198	258	264	108	155	229	419	32	20	77	523	105	343	10	10	473	344	10
L26081_at	1406	10	135	10	10	14	10	10	206	10	10	48	10	510	10	10	10	10	1119	10	10	13	10	32	323	10	10	10	10	10	10	10	20	10
L27479_at	61	91	78	275	10	10	165	328	10	10	864	10	10	10	10	10	10	279	28	10	89	105	10	159	10	69	140	10	10	126	10	61	152	10
L28821_at	173	10	312	454	381	10	229	436	505	277	137	145	196	400	270	180	203	349	157	253	211	60	10	309	287	165	11	77	10	10	10	115	680	10
L28957_at	30	176	156	114	86	75	32	104	115	50	38	167	95	78	111	70	78	186	10	10	10	10	10	97	145	42	44	10	10	10	73	55	172	169
L31881_at	228	524	336	247	225	10	391	499	10	239	10	10	94	10	61	10	184	610	41	64	427	58	45	309	231	256	251	107	124	82	10	107	338	10
L33799_at	10	578	67	244	17	280	10	10	434	42	75	106	270	10	96	160	1453	10	10	1195	10	392	396	237	87	147	795	10	218	191	530	1107	1528	341
L34657_at	10	144	51	80	10	141	23	10	251	109	67	10	10	10	34	108	17	67	10	46	10	124	246	169	73	10	10	63	58	52	10	75	87	221
L35240_at	81	712	87	10	98	10	40	13	167	43	211	10	39	106	92	37	122	10	10	67	32	80	203	133	207	56	71	58	77	10	13	40	48	10
L36463_at	168	660	147	371	11	56	10	10	61	72	10	429	213	100	131	10	63	179	10	491	10	295	92	61	10	31	194	36	118	10	263	102	10	88
L36645_at	74	116	100	605	31	70	57	10	130	912	1099	42	233	186	10	62	660	10	10	441	10	118	256	10	10	10	34	40	64	147	10	169	216	10
L36720_at	128	971	622	10	78	70	10	10	26	122	95	25	49	32	10	214	10	135	227	399	10	10	10	159	135	10	45	60	35	10	405	10	110	123
L36861_at	37	10	153	113	10	68	70	67	158	60	60	14	75	106	729	133	26	95	10	55	185	33	50	10	109	58	16	10	116	21	169	24	10	10
L36922_at	103	10	247	208	161	540	231	228	325	90	181	77	106	484	30	204	211	230	97	66	333	10	10	10	251	140	119	140	10	156	10	257	240	10
L37127_at	412	10	108	10	428	185	78	378	61	326	365	10	210	44	10	10	268	267	274	10	140	10	10	10	205	10	10	10	10	110	10	10	10	10
L38487_at	60	648	10	10	10	10	145	10	265	76	118	10	10	10	10	186	129	10	10	10	10	226	10	45	252	154	130	112	310	10	10	244	302	36
L38608_at	10	44	175	152	11	22	54	73	115	22	218	10	89	124	84	10	944	10	22	177	10	246	87	10	67	33	10	12	10	26	80	82	19	10
L40387_at	10	300	10	320	217	196	10	10	95	91	39	207	10	62	10	16	195	10	10	10	266	152	80	10	10	127	283	100	116	13	71	137	133	123
